Type,Pos,Width,Rotate,Attr
tank3,789.9649344288879_13.792017609701134,22.737776899532957,90,undefined
text,788.5943652172176_45.094365217217614,26.243459046915078,0,汽包|_|false|_|#000000
valve5,813.2064933548088_17.189226656585447,17.0624009169292,270,undefined
text,878.6705813924115_74.17058139241146,37.079418607588536,0,去E0201|_|false|_|#000000
text,879.3573706790505_86.97430867652571,37.079418607588536,0,自E0201|_|false|_|#000000
tank1,841.7506661155412_135.2506661155412,21.499333884458792,0,undefined
valve1,830.5291249337108_102.23909950826601,18.5589551502439,270,undefined
valve5,866.2132540768395_99.70921047735777,17.0624009169292,0,undefined
text,847.75_145.85782171899467,28.24528971056024,0,排污槽|_|true|_|#000000
tank2,726.259423704696_187.00942370469596,29.99057629530398,0,undefined
text,655.3216997215483_196.57169972154827,32.31226274364526,0,去V2018|_|false|_|#000000
text,735.6019649290556_194.15057519838143,56.80309295156368,0,蒸汽过滤器|_|true|_|#000000
monitoring,697.0736002056041_231.92218144231225,4.33302745320021,0,undefined
monitoring,714.8057962341895_231.38195782107124,4.33302745320021,0,undefined
tank2,837.4810349943903_211.58398832119997,29.99057629530398,0,undefined
text,846.8235762187498_215.72513981488544,61.399862937287246,0,脱氧水预热器|_|true|_|#000000
tank3,919.914655580674_200.91465558067404,23.335344419326017,0,undefined
text,924.75_218.33841247958122,40.31049208716851,0,水洗塔|_|true|_|#000000
valve6,881.0679987486022_246.8179987486023,24.682001251397764,0,undefined
connection,884.75_226.25,16_33.5,0,root|_|valve6_0|_|M8#8_L8#25.5_|_|#33cccc|_|3|_|16#33.5
monitoring,843.114171291776_283.5883969738413,3.705028543262316,270,undefined
monitoring,843.173507040312_289.7779768420754,3.705028543262316,270,undefined
monitoring,909.6911301891801_254.06284794897937,3.705028543262316,180,undefined
monitoring,898.1276433964041_233.12150994988684,3.6630942367317063,90,undefined
valve5,864.3844040567908_43.157840416663475,17.0624009169292,0,undefined
monitoring,903.83789563401_157.74459698134746,3.6630942367317063,90,undefined
monitoring,940.7127618812758_188.84991933910112,3.705028543262316,270,undefined
text,867.0653025571382_232.31530255713818,24.184697442861758,0,冷却水|_|false|_|#000000
monitoring,780.614460771502_277.5335156802796,4.33302745320021,0,undefined
monitoring,748.895880119827_276.9823202797254,4.33302745320021,0,undefined
text,692.1702850011687_286.3761378778387,24.184697442861758,0,脱氧水|_|false|_|#000000
valve1,727.7282425481659_284.0305562190639,18.5589551502439,270,undefined
tank2,1032.2040932002847_122.82916428802594,29.99057629530398,0,undefined
text,1042.5466344246443_132.9703157817114,50.21146508146949,0,汽水分离塔|_|true|_|#000000
monitoring,939.9353507082778_137.843604575872,4.33302745320021,0,undefined
valve8,957.6497073562792_91.25298585763443,7.493529851035655,180,undefined
valve5,985.4801268822677_163.4531232375798,16.269873117732345,0,undefined
connection,993.25_142.75,31.5_38,0,valve5_13|_|connection_118|_|M8#30_L23.5#30_L23.5#8_|_|#ffcc66|_|3|_|31.5#38
tank3,998.5244988966842_216.55322205120234,16.725501103315764,0,undefined
text,1001.3641143112468_227.97697895010953,31.01186391664613,0,闪洗塔|_|true|_|#000000
text,953.5092987797866_157.25929877978655,42.84986981404229,0,高压循环水|_|true|_|#000000
valve8,1001.9764336051747_190.43245086355176,7.493529851035656,180,undefined
valve5,966.1639978747471_221.08768726399688,16.269873117732345,0,undefined
valve5,1041.7862211809547_211.70447938866857,16.269873117732345,90,undefined
monitoring,973.4311580175776_303.9469730555023,4.33302745320021,0,undefined
monitoring,941.7125773659026_303.3957776549481,4.33302745320021,0,undefined
text,886.8470754958055_311.6402027117121,24.1846923828125,0,净水器|_|false|_|#000000
tank3,1082.6691774785909_202.98022240152125,23.335344419326017,0,undefined
text,1087.5087928931534_222.90397930042843,39.53774624482205,0,脱硫塔|_|true|_|#000000
valve5,1084.9714819955582_308.79267147243866,16.269873117732345,270,undefined
monitoring,1100.8320561939827_281.8990099654266,3.6630942367317063,90,undefined
monitoring,1063.8865700450328_317.87028173163367,4.33302745320021,0,undefined
monitoring,1032.1679893933579_317.31908633107946,4.33302745320021,0,undefined
monitoring,1019.5410636759489_333.36400693676023,3.705028543262316,180,undefined
tank1,599.9085562652804_306.4085562652803,22.34144373471963,0,undefined
text,604.9065627467457_315.4065627467458,32.05541453558775,0,甲醇罐|_|true|_|#000000
valve9,478.40444882397037_336.59501775510853,20.093465835873353,90,undefined
valve2,534.5753510676025_328.3011194106165,12.74656568226631,90,undefined
valve10,566.4232357953687_328.92323579536867,22.326764204631324,0,undefined
connection,612.4339137411553_441,9.316086258844734_35.8943323502547,0,root|_|root|_|M8#8.5_L8#57.5_L8#8_L8#22_L9#22_|_|#666666|_|10|_|17#65.5
connection,612.5468538742773_478.38383271740264,9.316086258844734_35.8943323502547,0,root|_|root|_|M8#8.5_L8#57.5_L8#8_L8#22_L9#22_|_|#0033cc|_|10|_|17#65.5
connection,612.75_515.1977551349814,9.316086258844734_35.8943323502547,0,root|_|root|_|M8#8.5_L8#57.5_L8#8_L8#22_L9#22_|_|#990000|_|10|_|17#65.5
valve5,568.8441809592093_459.32206280622455,15.49207602970546,0,undefined
valve5,567.75_496.68291193550823,15.500000000000002,0,undefined
valve5,566.969946810604_513.9006923196141,15.49207602970546,0,undefined
valve5,568.25_534.666103579521,15.492076029705458,0,undefined
